Type,Latitude,Longitude,Composite Risk,Distance to Waterway (m),Nearest Water Type,Height Above Nearest Drainage (m),Drainage Direction,Slope (degrees),Upstream Drainage Area (km^2),Elevation (m),Landform Type,Area (m^2),Population within 1 km,Population within 5 km,Population within 10 km,Soil Clay Fraction,Soil Sand Fraction,Fine Earth Density (kg / m^3),Soil Great Group,ID,Place Name
Unconfirmed,42.011,42.011,n/a,147,river,6,north,1.7,0.006,12,Lower slope (flat),n/a,579,14653,110105,0.24,0.34,140,1,8f1ef2285b9bc4d,"Ashta 2 hydro power plant, Rruga Gjon Buzuku, Govaç (Kosmaç), Kozmaç, Bushat, Bashkia Vau-Dejës, Shkodër County, Northern Albania, 4016, Albania"
Unconfirmed,41.351,41.351,n/a,51,river,2,southwest,0.5,0.006,93,Valley,n/a,22099,554446,766061,0.26,0.37,153,0,8f1ed4026775095,"Unaza, Babrru, Prengaj (Babrruja), Paskuqan, Kamez, Bashkia Kamëz, Tirana County, Central Albania, 1007, Albania"
Unconfirmed,40.501,40.501,n/a,1682,reservoir,0,west,3.6,3.616,279,Lower slope (warm),n/a,148,2063,6217,0.28,0.33,150,2,8f1ed0da222cc08,"SH4, Fratar-Cingrimaj, Frater, Fratar, Bashkia Mallakastër, Fier County, Southern Albania, 9328, Albania"
Unconfirmed,40.669,40.669,n/a,1707,river,56,northwest,10.5,0.020,141,Upper slope,n/a,215,12660,84678,0.3,0.29,155,1,8f1ed6a2da6108d,"Patos, Bashkia Patos, Fier County, Southern Albania, 9307, Albania"
Unconfirmed,41.298,41.298,n/a,78,canal,7,southwest,1.0,0.006,-1,Lower slope (warm),n/a,7139,74784,167274,0.24,0.36,142,4,8f1ed4ccd1528d5,"Rashbull, Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2021, Albania"
Unconfirmed,40.605,40.605,n/a,683,river,2,northwest,1.5,0.007,6,Lower slope (flat),n/a,295,6617,20935,0.25,0.31,150,0,8f1ed6a00c304a4,"Çadaj (Mifol), Novoselë, Bashkia Vlorë, Vlorë County, Southern Albania, 9411, Albania"
Unconfirmed,41.487,41.487,n/a,1150,river,9,west,1.4,0.051,32,Lower slope (flat),n/a,1973,22083,59057,0.25,0.33,148,0,8f1ed412071b545,"Fushë-Krujë, Kruje, Durrës County, Northern Albania, 1502, Albania"
Unconfirmed,40.396,40.396,n/a,257,coastline,90,northwest,21.5,0.007,58,Upper slope (warm),n/a,77,4787,71889,0.25,0.42,126,1,8f1ed6324718099,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania"
Unconfirmed,40.344,40.344,n/a,247,coastline,0,west,0.5,0.131,-2,Lower slope (flat),n/a,186,2466,6223,0.24,0.4,124,4,8f1ed6304cf44b2,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania"
Unconfirmed,40.497,40.497,n/a,233,canal,1,southeast,1.3,0.020,-1,Lower slope (flat),n/a,671,55832,78885,0.26,0.38,140,0,8f1ed6aa847676e,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania"
Unconfirmed,41.342,41.342,n/a,100,ditch,2,west,0.7,0.006,10,Lower slope (flat),n/a,2918,94062,181651,0.25,0.29,159,0,8f1ed4ce9a2a131,"Rashbull, Xhafzotaj, Bashkia Shijak, Durrës County, Northern Albania, 2019, Albania"
Unconfirmed,40.729,40.729,n/a,3003,lake,309,northwest,21.3,0.013,519,Upper slope,n/a,101,5716,56710,0.31,0.3,138,5,8f1ed468381925c,"Danushaj (Konizbaltë), Ura Vajgurore, Bashkia Ura Vajgurore, Berat County, Southern Albania, 5007, Albania"
Unconfirmed,40.021,40.021,n/a,583,stream,16,north,14.9,0.039,235,Lower slope,n/a,64,2559,21998,0.29,0.32,146,2,8f1ed040e522004,"Goranxi, Dropull i Poshtëm, Bashkia Dropull, Gjirokastër County, Southern Albania, 6004, Albania"
